ISIN,FIGI,Bloomberg Ticker,Name,SEDOL,FINANCED_EMISSIONS_INTENSITY_SCOPE_1_2.VALUE,FINANCED_EMISSIONS_INTENSITY_SCOPE_3.VALUE,TOTAL_FINANCED_EMISSIONS_SCOPE_1_2.VALUE,TOTAL_FINANCED_EMISSIONS_SCOPE_3.VALUE,WEIGHTED_AVERAGE_CARBON_INTENSITY_SCOPE_1_2.VALUE,WEIGHTED_AVERAGE_CARBON_INTENSITY_SCOPE_3.VALUE,TEMPERATURE_RATING_SCOPE_1_2.VALUE,TEMPERATURE_RATING_SCOPE_3.VALUE,ANALYTICINDEPBOARD.SCORE,ANALYTICINDEPBOARD.RELEVANCE,GENDER_PAY_GAP_PERCENTAGE.SCORE,GENDER_PAY_GAP_PERCENTAGE.RELEVANCE,GOVERNANCE.SCORE,GOVERNANCE.RELEVANCE,LOBBYING_AND_PUBLIC_POLICY.SCORE,LOBBYING_AND_PUBLIC_POLICY.RELEVANCE,ENVIRONMENTAL.SCORE,ENVIRONMENTAL.RELEVANCE,SOCIAL_IMPACT_OF_PRODUCTS.SCORE,SOCIAL_IMPACT_OF_PRODUCTS.RELEVANCE,MARKETING_PRACTICES.SCORE,MARKETING_PRACTICES.RELEVANCE,SOCIETY_HUMAN_RIGHTS.SCORE,SOCIETY_HUMAN_RIGHTS.RELEVANCE,ENVIRONMENTAL_IMPACT_OF_PRODUCTS.SCORE,ENVIRONMENTAL_IMPACT_OF_PRODUCTS.RELEVANCE,TARGETS_EMISSIONS.SCORE,TARGETS_EMISSIONS.RELEVANCE,LABOUR_RELATIONS.SCORE,LABOUR_RELATIONS.RELEVANCE,SOCIAL.SCORE,SOCIAL.RELEVANCE,NET_ZERO_EMISSIONS_TARGET.SCORE,NET_ZERO_EMISSIONS_TARGET.RELEVANCE,ANALYTICNONEXECBOARD.SCORE,ANALYTICNONEXECBOARD.RELEVANCE,BRIBERY_AND_CORRUPTION.SCORE,BRIBERY_AND_CORRUPTION.RELEVANCE,BIODIVERSITY_IMPACT_REDUCTION.SCORE,BIODIVERSITY_IMPACT_REDUCTION.RELEVANCE,ANALYTICBOARDFEMALE.SCORE,ANALYTICBOARDFEMALE.RELEVANCE
LU1793346666,BBG00XRZQG15,BLBGTII LX EQUITY,Bluebox Funds - Bluebox Global Technology Fund,-,7.8956556,238.82753,7.7748523,230.73128,28.994833,529.8076,2.0076253,1.8780026,83.0,99.0,45.0,44.0,79.0,98.0,,0.0,71.0,91.0,98.0,100.0,60.0,100.0,,0.0,93.0,100.0,94.0,94.0,77.0,100.0,61.0,89.0,50.0,0.0,80.0,99.0,95.0,99.0,41.0,67.0,54.0,99.0
IE00B4L5Y983,BBG00D61N7J1,IWDA LN EQUITY,iShares Core MSCI World UCITS ETF,BD4HH95,34.819458,562.9825,34.644226,559.89435,96.77476,870.3046,2.052868,2.41626,80.0,99.0,44.0,60.0,77.0,97.0,90.0,99.0,67.0,91.0,78.0,99.0,76.0,99.0,86.0,99.0,84.0,100.0,92.0,99.0,62.0,100.0,58.0,88.0,61.0,28.0,77.0,99.0,90.0,100.0,77.0,85.0,59.0,99.0
IE00BH3Q8N22,BBG00N8CN0C5,WEGSSUH ID EQUITY,Wellington Global Stewards Fund,BH3Q8N2,8.523472,191.6603,8.457842,190.18451,31.540356,680.7161,1.630597,1.827495,79.0,97.0,44.0,66.0,80.0,97.0,100.0,100.0,72.0,93.0,88.0,100.0,81.0,100.0,100.0,100.0,92.0,100.0,97.0,94.0,67.0,100.0,67.0,90.0,71.0,49.0,80.0,97.0,95.0,100.0,88.0,84.0,60.0,97.0
IE00BN940J20,BBG00ZF0XQY4,BABGUSA ID EQUITY,Brown Advisory Funds PLC - BA Beutel Goodman US Value Fund,-,8.413143,1004.214,8.170474,975.2485,20.028433,1497.1533,1.7871389,2.134046,88.0,100.0,19.0,21.0,82.0,98.0,100.0,100.0,66.0,92.0,83.0,99.0,89.0,99.0,100.0,100.0,82.0,99.0,74.0,100.0,78.0,99.0,60.0,84.0,57.0,29.0,81.0,100.0,99.0,100.0,12.0,100.0,55.0,100.0
IE00BMZ16T29,BBG00XRGF2P4,EUSVRUA ID EQUITY,Eagle Capital US Equity Fund,BMZ16T2,66.06296,4897.27,62.53711,4635.898,113.08919,2427.4463,2.7037153,3.0627475,78.0,100.0,51.0,49.0,76.0,98.0,93.0,100.0,62.0,88.0,73.0,99.0,60.0,99.0,100.0,100.0,76.0,100.0,87.0,94.0,57.0,100.0,55.0,87.0,62.0,34.0,80.0,100.0,88.0,100.0,93.0,100.0,55.0,100.0
IE00BFMXXD54,BBG00S021C78,VUAA LN EQUITY,Vanguard S&P 500 UCITS ETF,BLPBVW3,29.946257,483.52585,29.894749,482.59988,93.56567,673.95984,2.1771119,2.531618,84.0,99.0,48.0,58.0,78.0,98.0,88.0,99.0,66.0,91.0,73.0,99.0,71.0,99.0,84.0,100.0,82.0,99.0,91.0,99.0,56.0,99.0,56.0,86.0,55.0,23.0,78.0,99.0,89.0,100.0,71.0,82.0,60.0,99.0
IE00BJMZ1027,BBG00614CGL4,COMUSIA ID EQUITY,Comgest Growth PLC - Comgest Growth Europe,BJMZ102,22.71308,89.31562,22.461193,88.32511,71.83265,291.84552,1.9841261,1.8844609,68.0,99.0,51.0,73.0,79.0,97.0,100.0,100.0,78.0,95.0,98.0,100.0,87.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,73.0,96.0,81.0,45.0,85.0,99.0,99.0,99.0,25.0,69.0,65.0,99.0
LU1984140423,BBG00NWKRSK6,BGCED2U LX EQUITY,BlackRock Global Funds - Continental European Flexible Fund,BK6RMD1,69.14533,805.3576,68.53528,797.9724,145.4978,1684.473,1.5879934,1.8331326,76.0,99.0,43.0,73.0,81.0,97.0,100.0,100.0,72.0,94.0,96.0,100.0,82.0,99.0,100.0,100.0,95.0,100.0,90.0,99.0,91.0,100.0,73.0,95.0,71.0,33.0,90.0,99.0,96.0,100.0,81.0,81.0,65.0,99.0
IE00BD065N65,BBG00FN5M3K6,VERASCU ID EQUITY,Veritas Funds PLC - Veritas Asian Fund,BD065N6,25.09409,4777.5737,24.49183,4662.9116,57.030693,6718.604,2.5453382,3.0838006,55.0,100.0,25.0,29.0,70.0,92.0,100.0,100.0,64.0,88.0,92.0,100.0,98.0,100.0,100.0,100.0,94.0,100.0,84.0,85.0,85.0,100.0,59.0,86.0,58.0,11.0,56.0,100.0,96.0,100.0,87.0,81.0,43.0,100.0
IE00BDGV0J60,BBG00FQYV847,GQGEMAU ID EQUITY,GQG Partners Emerging Markets Equity Fund/Ireland,BDGV0J6,256.5554,751.25366,256.55515,751.2529,905.49316,1303.522,2.8517926,2.9889789,58.0,98.0,32.0,36.0,71.0,95.0,87.0,100.0,60.0,89.0,94.0,100.0,97.0,100.0,81.0,100.0,82.0,99.0,76.0,96.0,80.0,100.0,66.0,92.0,48.0,28.0,64.0,100.0,84.0,100.0,96.0,86.0,31.0,100.0
US47103Y5731,BBG00VFLL8Q9,JEUIX US EQUITY,Janus Henderson Global Sustainable Equity Fund/US,-,9.184473,434.28195,9.028566,426.90997,22.54356,874.98584,1.6091619,2.0219257,78.0,97.0,45.0,52.0,79.0,96.0,,0.0,68.0,88.0,84.0,100.0,93.0,100.0,,0.0,96.0,100.0,92.0,96.0,82.0,99.0,59.0,86.0,63.0,28.0,79.0,97.0,96.0,99.0,78.0,91.0,58.0,99.0
LU2319663584,BBG00ZX9VNY4,VOVCTCU LX EQUITY,Vontobel Fund - Global Environmental Change,-,61.958874,1059.3652,61.153408,1045.5935,164.019,1837.4592,1.8759453,2.1650245,78.0,100.0,31.0,40.0,81.0,97.0,100.0,100.0,64.0,91.0,98.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,82.0,100.0,94.0,100.0,60.0,86.0,56.0,11.0,79.0,100.0,98.0,100.0,81.0,85.0,57.0,100.0
