ID,FIGI,BLOOMBERG TICKER,NAME,SEDOL,Temp Rating Scope 1+2,Temp Rating Scope 3,Financed Intensity Scope 1+2,Financed Intensity Scope 3,Total Emissions Scope 1+2,Total Emissions Scope 3,Environmental Score,Net Zero Target,Carbon Intensity Scope 1+2,Carbon Intensity Scope 3,Land Use & Biodiversity,Biodiversity Reduction,Water Recycled Ratio,Waste Recycling Ratio,Social Score,Gender Pay Gap,Female Board Members,Diversity Targets,Governance Score,Non-Executive Board,Independent Board,Anti-Bribery Score
US5128073062,BBG000BNFLM9,LRCX US EQUITY,Lam Research Corp,BSML4N7,1.5,2,18.88506,527.5281,18.88506,527.5281,83,,14.583396,407.36703,100,100,57,71,57,8,44,,88,88,88,100
US02209S1033,BBG000BP6LJ8,MO US EQUITY,Altria Group Inc,2692632,1.5,2,2.2704952,18.228533,2.2704952,18.228533,81,,10.8493805,87.1036,,,,,57,66,100,,82,70,98,100
IE00BZ036616,BBG00BBJ3551,GCGLEIE ID EQUITY,GuardCap UCITS Funds plc - GuardCap Global Equity Fund,BZ03661,1.5085437,1.7823178,8.1281185,94.109985,8.052503,93.23448,72,66,19.983122,299.88428,94,79,21,60,64,40,62,43,80,81,73,98
IE00BVSS1C10,BBG00836GCH3,GCGLEIG ID EQUITY,GuardCap UCITS Funds plc - GuardCap Global Equity Fund,BVSS1C1,1.5085437,1.7823178,8.1281185,94.109985,8.052503,93.23448,72,66,19.983122,299.88428,94,79,21,60,64,40,62,43,80,81,73,98
IE00BF2T2J22,BBG00LPTKM83,GCGLIGD ID EQUITY,GuardCap UCITS Funds plc - GuardCap Global Equity Fund,BF2T2J2,1.5085437,1.7823178,8.1281185,94.109985,8.052503,93.23448,72,66,19.983122,299.88428,94,79,21,60,64,40,62,43,80,81,73,98
LU1301026206,BBG009PH0FD7,SYCHAWI LX EQUITY,Sycomore Fund SICAV - Sycomore Europe Happy @ Work,-,1.5107983,1.8512121,9.042829,586.53,8.607235,558.2769,75,83,16.878016,1168.705,98,86,32,61,74,44,67,84,79,82,64,96
GB00B18B9V52,BBG000D151L1,LTUKEQI LN EQUITY,WS Lindsell Train UK Equity Fund,B18B9V5,1.5228252,1.8063617,1.6618578,998.04095,1.5192537,912.3989,72,57,5.5255365,2563.1833,100,92,31,2,65,49,67,61,83,62,69,96
FR0000421109,BBG000BX8LL6,SINMPEC FP EQUITY,HSBC Global Asset Management - HSBC Actions Monde,-,1.5254014,2.0981486,187.12097,377.97452,166.93459,337.1991,70,68,172.27638,1126.4425,92,41,7,49,68,39,64,100,82,95,76,94
GB00BF0V6P41,BBG00JGKXYH7,FSSEQIA LN EQUITY,Fundsmith Stewardship Fund,BF0V6P4,1.525487,2.1850288,6.0008035,117.73903,5.7822003,113.44991,66,44,22.787022,436.6409,100,1,24,22,66,45,60,24,80,83,79,97
LU2289280542,BBG00YZ31D55,FUFSIUA LX EQUITY,Fundsmith Sustainable Equity Fund Sicav,-,1.5273669,2.2476382,5.3896503,99.26271,5.3501344,98.534935,68,44,20.712105,396.6302,100,61,26,16,66,47,60,30,79,85,78,98
