STRATEGY,STRUCTURE,ANALYTICBOARDFEMALE.RELEVANCE,ANALYTICBOARDFEMALE.SCORE,ANALYTICINDEPBOARD.RELEVANCE,ANALYTICINDEPBOARD.SCORE,ANALYTICNONEXECBOARD.RELEVANCE,ANALYTICNONEXECBOARD.SCORE,BIODIVERSITY_IMPACT_REDUCTION.RELEVANCE,BIODIVERSITY_IMPACT_REDUCTION.SCORE,BRIBERY_AND_CORRUPTION.RELEVANCE,BRIBERY_AND_CORRUPTION.SCORE,ENVIRONMENTAL.RELEVANCE,ENVIRONMENTAL.SCORE,ENVIRONMENTAL_IMPACT_OF_PRODUCTS.RELEVANCE,ENVIRONMENTAL_IMPACT_OF_PRODUCTS.SCORE,FINANCED_EMISSIONS_INTENSITY_SCOPE_1_2.VALUE,FINANCED_EMISSIONS_INTENSITY_SCOPE_3.VALUE,GENDER_PAY_GAP_PERCENTAGE.RELEVANCE,GENDER_PAY_GAP_PERCENTAGE.SCORE,GOVERNANCE.RELEVANCE,GOVERNANCE.SCORE,LABOUR_RELATIONS.RELEVANCE,LABOUR_RELATIONS.SCORE,LOBBYING_AND_PUBLIC_POLICY.RELEVANCE,LOBBYING_AND_PUBLIC_POLICY.SCORE,MARKETING_PRACTICES.RELEVANCE,MARKETING_PRACTICES.SCORE,NET_ZERO_EMISSIONS_TARGET.RELEVANCE,NET_ZERO_EMISSIONS_TARGET.SCORE,SOCIAL.RELEVANCE,SOCIAL.SCORE,SOCIAL_IMPACT_OF_PRODUCTS.RELEVANCE,SOCIAL_IMPACT_OF_PRODUCTS.SCORE,SOCIETY_HUMAN_RIGHTS.RELEVANCE,SOCIETY_HUMAN_RIGHTS.SCORE,TARGETS_EMISSIONS.RELEVANCE,TARGETS_EMISSIONS.SCORE,TEMPERATURE_RATING_SCOPE_1_2.VALUE,TEMPERATURE_RATING_SCOPE_3.VALUE,TOTAL_FINANCED_EMISSIONS_SCOPE_1_2.VALUE,TOTAL_FINANCED_EMISSIONS_SCOPE_3.VALUE,WEIGHTED_AVERAGE_CARBON_INTENSITY_SCOPE_1_2.VALUE,WEIGHTED_AVERAGE_CARBON_INTENSITY_SCOPE_3.VALUE
Coatue Long Only,LP,43.055706228,21.44468462297,43.055706228,32.70474470493,43.055706228,30.84206411855,6.889391553,4.17705178638,43.055706228,36.8422962984,94.39488126617,61.10839816132,19.87794776,18.16410642,4.963953402329865,2126.402357108995,20.6379607,16.08289372707,95.2029029711,67.63935175641,10.228946799,6.6553043236,0.999899624,0.999899624,5.249422335,4.5654918026,5.929337857,15.5968190166,89.70036063929,60.64723476237,20.657934357,16.2763624402,0.479976153,0.479976153,32.196828748,29.26677508366,0.6882858496379156,0.915021104122,4.963953402329865,2126.402357108995,10.33588255892849,1019.991676789885
Energy Infrastructure and Utilities,LP,96.28599901300001,47.593224647,96.28599901300001,72.45676897356,96.28599901300001,66.84788288977,79.56921372400001,74.65245450932,96.28599901300001,93.4237987162,84.3061952155,57.5437765622,89.650951603,69.6264665306,270.3488339892842,1489.538327904446,9.505132709,7.852417455439999,96.73095854164,76.7218866669,1.578073312,1.2881902112,76.573132243,72.6503071316,0.0,0.0,9.648569077000001,51.84824076758,79.97311119396,56.04981689564,0.545461808,0.545461808,27.986846412,22.5005208228,90.8231957,67.00814792832,2.283597906822353,2.5791516630407,270.3488339892842,1489.538327904446,684.8873020723694,2918.022833395337
Fundsmith Sustainable Equity Fund LP,LP,99.34,58.7016,99.34,76.97879999999999,99.34,82.6369,7.629999999999999,0.07629999999999999,99.34,92.972,94.0266,69.1648,51.68,49.546,5.38244950786,121.51911132934,68.04,39.4183,97.9924,77.7308,30.43,20.956,0.0,0.0,50.6,42.794,8.73,18.1858,91.0664,62.9393,68.63,60.032,0.0,0.0,18.6,18.945,1.6317525,2.28259140258,5.38244950786,121.51911132934,20.74194845413,488.1662051066
GQG Global Concentrated,LP,95.809566102,52.29093989643,95.809566102,85.31982264342,95.809566102,70.25291632957,14.821449468,14.821449468,95.809566102,81.678153951,91.13730932267,63.85517117767,24.142404338,16.8696770656,67.48140303239308,293.9457494222259,56.395622729,37.09748439968,97.39403941188999,78.71207070059,0.0,0.0,14.821449468,12.9592588922,27.372747176,20.4320659806,20.142108278,30.4185983,89.17800642165,52.51714691143,10.661021543,4.8584668348,9.310952878999998,7.4487623032,54.635472457,46.33841334292,1.876069571611053,2.537398342219,67.48140303239308,293.9457494222259,263.4447849303328,647.1318884944077
Generation Global Equity,LP,96.265984278,53.49401944954,96.265984278,76.03190550839,96.265984278,77.58821406174,18.731008417,12.4537221181,96.265984278,89.9118092564,93.09933479272,68.23327437063,55.156269382,52.8569045206,3.184029937258501,102.5405113077335,49.335445792,33.59524671557,97.53684719683,76.99192064269,9.108665713,4.882138756,3.489068788,3.489068788,29.142826707,24.6016446438,10.442475949,22.934782892,90.11018280171,61.0736555492,58.00628025,53.942482098,3.489068788,3.489068788,38.393467274,32.64313768427,1.641076832538157,2.1327873853225,3.184029937258501,102.5405113077335,14.29555300175499,240.3462073198086
Impactive Capital,LP,94.299429809,60.52205212707,94.299429809,82.54405420101,94.299429809,78.73817373701999,0.0,4.1854184185,94.299429809,94.299429809,83.45974597572,61.99719958737,32.043204595,32.043204595,5.816903411407027,55.52815535804985,9.32093217,10.25532559048,98.44014399424,80.6754674839,32.653265117,32.653265117,13.131313338,13.131313338,37.683768536,36.131613273,0.0,19.8469847265,81.25292529172,54.64036403311,32.043204595,32.043204595,0.0,0.0,31.5131512,10.22602252675,1.816831678814,1.8855635522265,5.816903411407027,55.52815535804985,11.32833200317224,101.521306234031
Ownership Capital,LP,96.806153064,54.01081133751,96.806153064,77.99924876893,96.806153064,80.56257370224,6.170931986,8.7726939635,96.806153064,95.959276199,93.9248750516,71.32552769862,37.129738883,37.129738883,0.4708463602212334,24.91709165429354,45.545048352,31.41146616739,99.30329822378,78.65610045524,4.634648959,3.7077191672,0.0,0.0,41.483652103,38.285082801,4.234912328,6.5522368075,89.92669496314,63.50948398726,41.364123208,41.364123208,0.0,0.0,14.894821532,11.40965959691,1.66866262010125,2.0199545520145,0.4708463602212334,24.91709165429354,4.030630129003008,136.047519868367
The Children's Investment Fund,LP,100.0,64.58992805711,100.0,80.63938848911,100.0,81.67176258984,13.758992806,13.758992806,100.0,86.7805755394,92.98561151083,67.17356115117,13.758992806,13.758992806,8.960274271477186,870.742160232123,91.007194245,55.02517985633,98.52068345329,80.21762589926,0.0,0.0,0.0,0.0,8.183453237,6.5467625896,22.032374101,32.10881294993,91.95053956837,60.97302158257,0.0,0.0,0.0,0.0,47.122302158,47.122302158,1.5701438848925,1.957419064748,8.960274271477186,870.742160232123,52.01610680404409,1824.395938961197
Tiger Long Only,LP,99.79700000563,55.24999988456,99.62900000409999,77.18599990382,99.18800000995,75.67599994974,22.92499989438,13.16699987348,99.94400000368,80.54899995192,87.69099993175,62.3299998645,39.69499967633,33.86299972366,10.13989598197949,513.6804328385731,67.88099982144,49.01200005063,95.4929999865,71.76999986178001,34.79499974133,21.21199981923,22.399999985,21.78400000348,36.14399983068,30.93599982924,26.91199955147,46.14699974258,86.95099990383,57.0329999625,39.69499967633,31.88099973592,22.34399998668,21.39200001524,74.24599945673,62.35499955385,1.402328441476651,1.990440771774161,10.09456911408334,512.9924572587835,21.94139320728262,875.7266357070431
ValueAct LP,LP,91.81636806292104,47.733286694543,91.81636806292104,63.93731582386089,91.81636806292104,62.56074620386588,3.808079726344953,0.7972695166135184,91.81636806292104,86.80834505489699,77.85059721858897,57.26225268769072,29.50577709206651,27.71374322698317,5.315042406195586,32.89966296913538,48.05331257144652,26.04860413749217,87.60331788227099,65.95532183494221,18.20647167662034,12.83037008137035,0.0,0.0,17.47143657834489,16.11842866456251,0.0,15.40984399416032,73.85072046022131,44.94072120571781,29.50577709206651,23.53257006173941,0.0,0.0,46.26039395158276,32.91851833267103,1.740879600179652,2.114213431848899,5.315042406195586,32.89966296913538,10.17918268633852,98.88147526203538
