STRATEGY,STRUCTURE,Temp Rating Scope 1+2,Temp Rating Scope 3,Financed Intensity Scope 1+2,Financed Intensity Scope 3,Total Emissions Scope 1+2,Total Emissions Scope 3,Environmental Score,Net Zero Target,Carbon Intensity Scope 1+2,Carbon Intensity Scope 3,Land Use & Biodiversity,Biodiversity Reduction,Water Recycled Ratio,Waste Recycling Ratio,Social Score,Gender Pay Gap,Female Board Members,Diversity Targets,Governance Score,Non-Executive Board,Independent Board,Anti-Bribery Score
Coatue Long Only Partners LP (25842160),LP,1.874095937,2.491460974,11.52147025,4938.835591,11.52147025,4938.835591,61.43708726,52.16847535,24.0291831,2369.703196,100,60.63019868,43.23097514,49.51398846,60.8753818,38.25264066,50.90739136,35.04169075,68.53904575,71.41647632,76.05296262,90.94282929
"Energy Infrastructure Fund QP, LP (754997)",LP,2.585648033,2.920294508,256.0710219,1668.273033,256.0710219,1668.273033,58.44700227,54.00485584,695.359363,2901.579619,87.18120459,93.32064517,35.31744054,16.38788464,56.82980802,13.73936877,49.55879169,1,77.62493325,69.38473637,75.37967677,96.86335978
Fundsmith Sustainable Equity Fund (5437339),LP,1.642593618,2.297756596,5.385013999,121.2691771,5.385013999,121.2691771,69.66780753,48.23819629,20.75187493,486.8504561,100,1,26.52592302,30.47909091,63.71058989,44.01328718,59.78165895,29.75605136,79.55345279,83.52768271,78.00563721,96.75659352
GQG Partners Concentrated Global Equity Fund (32732229),LP,1.95812344,2.648376822,70.06574795,307.1327027,70.06574795,307.1327027,64.52733894,60.00304824,283.7544677,677.4992071,55.33056652,100,23.50188045,20.08430312,52.67846101,42.95744457,57.37787568,33.51285244,79.78357593,75.46825833,89.54071333,89.92484641
Generation IM Global Equity Fund LLC (2286726),LP,1.763125656,2.291405303,3.628416469,107.790557,3.628416469,107.790557,68.20468203,64.73798158,15.24750616,248.3443373,95.08548173,59.59471764,6.057213707,58.96959839,61.2082465,36.59132798,55.78596041,35.56069489,77.56167594,80.44367083,79.24838501,96.8556347
Global Thematic Equity,LP,1.805225354,2.239702616,5.62166807,874.1905462,5.62166807,874.1905462,68.00171312,58.47630652,23.84869371,806.4597148,97.41568691,64.11685411,11.29141109,44.59991275,60.82388253,38.82087316,59.6581646,40.57261028,78.8338271,81.27485365,80.57792946,96.28177814
Impact World Equity Fund,LP,1.873683896,2.311928039,3.296819188,87.58608109,3.296819188,87.58608109,68.50928922,62.71874097,13.72969167,241.1734256,96.53597077,58.60494325,9.571400777,55.06507009,61.08667358,33.65692331,57.93012894,37.21899225,78.3273114,81.63520501,80.76011275,97.7258985
Impactive Capital Fund LP Series D (10547995),LP,2.49574117,2.590156613,6.168545688,58.88493225,6.168545688,58.88493225,62.25982585,50,12.01315005,107.6584518,100,50,62,6.515066255,55.10601061,10.87527847,65.25060986,16.35466379,81.16221616,83.498038,88.68618088,100
"Ownership Capital Global Equity (USD) Fund, L.P. (8286276)",LP,1.802929323,2.18248749,0.489803303,25.7989296,0.489803303,25.7989296,72.43584801,73.87329086,4.188079439,140.7234994,100,77.12627319,24.94102717,60.14895046,63.98822278,32.17418849,55.89624067,24.03977177,79.19851245,83.17937079,82.52028043,99.12518281
The Children’s Investment Fund LP ,LP,1.572222222,1.963564815,9.153083644,893.1481143,9.153083644,893.1481143,67.77777778,52.74002954,53.25627799,1857.879659,100,100,1,22.45238095,61.17592593,55.84074074,66.08981481,55.97836538,81.35555556,82.34537037,81.01018519,92.59259259
"Tiger Global Long Opportunities, LP (8073650)",LP,1.670385877,2.374844379,10.20576278,523.2967798,10.12194845,522.5433938,62.68799986,60.87994734,21.92039222,880.7182461,95.30434793,41.04347805,31.47205892,39.20821943,56.68999995,53.6158068,55.24999988,48.81295749,72.24099985,75.72499995,77.1369999,89.54900008
ValueAct LP,LP,2.059249305,2.500857923,5.283803978,35.21508459,5.283803978,35.21508459,63.09332731,50,10.87281,103.5295793,100,14.96810153,45.18634758,6.888823672,48.74664826,33.25082364,51.76434503,24.60614299,72.11710392,66.64682271,69.372416,97.11294839
Viking Long Only Fund (811858),LP,1.856580608,2.591999678,5.584655272,264.601624,5.584655272,264.601624,69.70654397,62.22161172,20.00020765,789.3866267,99.23076923,59.12844037,20.71641791,53.95833333,56.85276074,40.38858988,56.63599182,24.96923077,77.16871166,78.69529652,77.88343558,95.4396728
Wellington Durable Companies,LP,2.162170637,2.376625992,53.21666568,237.0807949,53.21666568,237.0807949,63.82143409,62.77807229,110.8822915,712.6427308,94.60609085,100,6.610622859,19.94606669,54.42070392,20.22670754,58.59721532,24.1234194,78.1028612,65.95181244,71.3146231,96.96237094
Global Alpha,LP,1.894889005,2.381592859,21.77530706,1316.901467,21.77530706,1316.901467,65.90136642,58.48160618,54.72184198,1296.125378,98.15105803,79.86457185,17.04430726,36.56459389,57.79230094,37.00326551,57.96940338,32.93180628,76.56039212,74.14650203,76.17204717,94.4276975
