ISIN,FIGI,Bloomberg Ticker,Name,SEDOL,TEMPERATURE_RATING_SCOPE_1_2.VALUE,TEMPERATURE_RATING_SCOPE_3.VALUE,FINANCED_EMISSIONS_INTENSITY_SCOPE_1_2.VALUE,FINANCED_EMISSIONS_INTENSITY_SCOPE_3.VALUE,TOTAL_FINANCED_EMISSIONS_SCOPE_1_2.VALUE,TOTAL_FINANCED_EMISSIONS_SCOPE_3.VALUE,WEIGHTED_AVERAGE_CARBON_INTENSITY_SCOPE_1_2.VALUE,WEIGHTED_AVERAGE_CARBON_INTENSITY_SCOPE_3.VALUE,ANALYTICINDEPBOARD.SCORE,ANALYTICINDEPBOARD.RELEVANCE,GENDER_PAY_GAP_PERCENTAGE.SCORE,GENDER_PAY_GAP_PERCENTAGE.RELEVANCE,GOVERNANCE.SCORE,GOVERNANCE.RELEVANCE,LOBBYING_AND_PUBLIC_POLICY.SCORE,LOBBYING_AND_PUBLIC_POLICY.RELEVANCE,ENVIRONMENTAL.SCORE,ENVIRONMENTAL.RELEVANCE,SOCIAL_IMPACT_OF_PRODUCTS.SCORE,SOCIAL_IMPACT_OF_PRODUCTS.RELEVANCE,MARKETING_PRACTICES.SCORE,MARKETING_PRACTICES.RELEVANCE,SOCIETY_HUMAN_RIGHTS.SCORE,SOCIETY_HUMAN_RIGHTS.RELEVANCE,ENVIRONMENTAL_IMPACT_OF_PRODUCTS.SCORE,ENVIRONMENTAL_IMPACT_OF_PRODUCTS.RELEVANCE,TARGETS_EMISSIONS.SCORE,TARGETS_EMISSIONS.RELEVANCE,LABOUR_RELATIONS.SCORE,LABOUR_RELATIONS.RELEVANCE,SOCIAL.SCORE,SOCIAL.RELEVANCE,NET_ZERO_EMISSIONS_TARGET.SCORE,NET_ZERO_EMISSIONS_TARGET.RELEVANCE,ANALYTICNONEXECBOARD.SCORE,ANALYTICNONEXECBOARD.RELEVANCE,BRIBERY_AND_CORRUPTION.SCORE,BRIBERY_AND_CORRUPTION.RELEVANCE,BIODIVERSITY_IMPACT_REDUCTION.SCORE,BIODIVERSITY_IMPACT_REDUCTION.RELEVANCE,ANALYTICBOARDFEMALE.SCORE,ANALYTICBOARDFEMALE.RELEVANCE
US4642882579,BBG000TH6VB3,ACWI US EQUITY,iShares MSCI ACWI ETF,B2QKQH6,2.2239273,2.4766395,43.30277,560.81976,43.101963,557.7617,121.404106,865.9952,77.0,99.0,42.0,56.0,76.0,97.0,91.0,100.0,66.0,91.0,79.0,100.0,77.0,100.0,87.0,100.0,84.0,100.0,89.0,98.0,65.0,99.0,59.0,88.0,59.0,29.0,75.0,99.0,90.0,100.0,77.0,86.0,56.0,99.0
US4614181620,BBG003569W59,AFNIX US EQUITY,Bahl & Gaynor Income Growth Fund,B7T7NR8,2.3877585,2.8172624,63.54752,281.2544,62.76847,277.80643,289.8028,812.55853,88.0,100.0,35.0,43.0,81.0,98.0,85.0,100.0,65.0,91.0,65.0,100.0,63.0,100.0,77.0,99.0,80.0,100.0,97.0,96.0,52.0,100.0,62.0,87.0,57.0,27.0,81.0,100.0,90.0,100.0,82.0,85.0,58.0,100.0
US4642872265,BBG000Q123R0,AGG US EQUITY,iShares Core U.S. Aggregate Bond ETF,2897404,2.1996603,2.5997171,63.916645,429.18417,16.38413,105.8442,227.19981,1432.0908,79.0,95.0,33.0,42.0,69.0,96.0,92.0,99.0,59.0,96.0,73.0,100.0,74.0,100.0,84.0,100.0,82.0,100.0,88.0,94.0,65.0,99.0,62.0,91.0,63.0,33.0,74.0,96.0,90.0,99.0,80.0,90.0,55.0,97.0
US04045F3459,BBG01HPQPL57,AIQQX US EQUITY,Aristotle Value Equity Fund,-,2.7260406,2.6144097,35.912796,196.47964,35.568214,194.59444,159.73114,610.83777,86.0,99.0,35.0,32.0,79.0,97.0,95.0,100.0,63.0,91.0,85.0,100.0,73.0,100.0,88.0,100.0,86.0,100.0,87.0,99.0,60.0,100.0,55.0,84.0,44.0,34.0,77.0,99.0,97.0,99.0,77.0,100.0,56.0,99.0
US4613081086,BBG000BBRQG8,AIVSX US EQUITY,Investment Company of America/The,2466945,2.0653987,2.3195052,28.965723,639.65704,27.890627,616.6303,93.79449,1104.9282,83.0,100.0,53.0,63.0,77.0,98.0,92.0,100.0,65.0,92.0,68.0,99.0,66.0,99.0,90.0,100.0,84.0,100.0,90.0,99.0,55.0,100.0,59.0,89.0,56.0,20.0,74.0,100.0,90.0,100.0,73.0,69.0,59.0,100.0
US7429351254,BBG000BCRTD3,AKRIX US EQUITY,Akre Focus Fund,B3ZN361,2.5898857,2.915063,1.0683593,12.260372,1.020782,11.714381,8.569184,80.00525,77.0,99.0,20.0,30.0,73.0,94.0,100.0,100.0,61.0,84.0,100.0,100.0,96.0,100.0,,0.0,100.0,100.0,100.0,100.0,80.0,100.0,48.0,73.0,78.0,51.0,71.0,99.0,96.0,99.0,50.0,0.0,54.0,99.0
US4642898757,BBG000KD5M13,AOM US EQUITY,iShares Core 40/60 Moderate Allocation ETF,B3FFSG2,2.2191532,2.5911002,64.1463,610.1568,38.630707,354.47272,155.09969,1234.4529,74.0,97.0,39.0,50.0,72.0,95.0,93.0,99.0,62.0,92.0,80.0,99.0,78.0,100.0,89.0,99.0,85.0,99.0,85.0,95.0,68.0,100.0,60.0,89.0,60.0,30.0,74.0,98.0,91.0,100.0,78.0,86.0,55.0,98.0
US04314H6678,BBG0065XJJ51,APDKX US EQUITY,Artisan International Value Fund,BLTVVP2,2.0436928,2.2723465,58.20358,559.794,45.268,435.3814,111.89296,1191.2069,77.0,99.0,38.0,62.0,82.0,97.0,100.0,100.0,69.0,93.0,89.0,99.0,89.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,80.0,100.0,65.0,91.0,73.0,42.0,78.0,99.0,89.0,99.0,96.0,100.0,59.0,99.0
US04314H8575,BBG001Q9RM92,APHKX US EQUITY,Artisan International Value Fund,B662BV9,2.0436928,2.2723465,58.20358,559.794,45.268,435.3814,111.89296,1191.2069,77.0,99.0,38.0,62.0,82.0,97.0,100.0,100.0,69.0,93.0,89.0,99.0,89.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,80.0,100.0,65.0,91.0,73.0,42.0,78.0,99.0,89.0,99.0,96.0,100.0,59.0,99.0
US04314H8815,BBG000P8N8B9,ARTKX US EQUITY,Artisan International Value Fund,B0BX2C3,2.0436928,2.2723465,58.20358,559.794,45.268,435.3814,111.89296,1191.2069,77.0,99.0,38.0,62.0,82.0,97.0,100.0,100.0,69.0,93.0,89.0,99.0,89.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,80.0,100.0,65.0,91.0,73.0,42.0,78.0,99.0,89.0,99.0,96.0,100.0,59.0,99.0
