ID,FIGI,BLOOMBERG TICKER,NAME,SEDOL,Temp Rating Scope 1+2,Temp Rating Scope 3,Financed Intensity Scope 1+2,Financed Intensity Scope 3,Total Emissions Scope 1+2,Total Emissions Scope 3,Environmental Score,Net Zero Target,Carbon Intensity Scope 1+2,Carbon Intensity Scope 3,Land Use & Biodiversity,Biodiversity Reduction,Water Recycled Ratio,Waste Recycling Ratio,Social Score,Gender Pay Gap,Female Board Members,Diversity Targets,Governance Score,Non-Executive Board,Independent Board,Anti-Bribery Score
US67065Q4001,BBG000BCCCD6,NUVBX US EQUITY,Nuveen Intermediate Duration Municipal Bond Fund,B6QXKX7,1.5,3.1,46.050373,388.339,0.5144241,1.7159535,58,,140.9896,1140.9207,,,,,67,,60,1,65,73,67,100
US20368N2027,BBG000GL77J2,CRANX US EQUITY,CCM Community Impact Bond Fund,BMSKYX6,1.5456316,2.8180406,2.105083,62.63699,0.2580648,7.585397,66,73,4.9874735,263.14322,,,1,6,61,49,48,8,74,77,85,94
US4258942014,BBG000D0SVD1,HJPIX US EQUITY,Hennessy Japan Fund,B1F7GG0,1.5597644,2.056283,18.111498,600.1634,16.526798,541.95276,66,69,37.35136,885.17914,100,91,22,48,70,27,40,91,63,35,49,100
US47103Y5731,BBG00VFLL8Q9,JEUIX US EQUITY,Janus Henderson Global Sustainable Equity Fund/US,47103Y573,1.6092246,2.020891,9.463445,430.10226,9.128011,414.85718,68,62,23.337765,869.08856,100,79,12,52,60,45,58,42,79,79,78,97
US9219108167,BBG000V1FPR1,MGK US EQUITY,Vanguard Mega Cap Growth ETF,B2N85C1,1.6095691,2.8193119,2.3896077,826.14465,2.3869216,825.2161,69,52,9.208051,423.65375,99,22,14,51,58,56,63,38,77,80,85,94
US9219087940,BBG00PNMRV66,VESGX US EQUITY,Vanguard Global ESG Select Stock Fund,-,1.6326852,1.8265779,8.362233,191.5826,8.395465,192.34396,72,71,31.094687,679.1432,100,89,23,56,67,43,59,55,81,80,79,96
US4642877215,BBG000CF9GL4,IYW US EQUITY,iShares U.S. Technology ETF,2687003,1.6508586,2.1946366,2.368873,24.527712,2.3640778,24.478064,70,53,12.347685,125.363556,100,25,15,54,58,49,63,39,77,80,84,96
US1315823484,BBG005VKKQT8,CULIX US EQUITY,Calvert Ultra-Short Duration Income Fund,-,1.6598608,1.9612055,59.934677,393.01865,25.496187,167.18997,64,76,87.68165,917.4686,80,100,3,51,59,35,49,48,74,77,78,95
US7017694081,BBG000C3LF48,PRILX US EQUITY,Parnassus Core Equity Fund,B7F3BK9,1.6607978,2.3142898,27.128527,78.505844,26.89906,77.8418,65,56,72.8337,261.93805,100,26,7,42,61,48,61,26,80,78,85,96
US4642875490,BBG000H13601,IGM US EQUITY,iShares Expanded Tech Sector ETF,2760153,1.6838942,2.137346,3.040251,46.75926,3.0290449,46.564667,70,57,18.605518,136.39676,99,31,21,52,56,48,58,32,76,79,83,94
US46434V7385,BBG006MJ8993,IEUR US EQUITY,iShares Core MSCI Europe ETF,BN90WN8,1.7225789,2.1445496,53.192085,843.80786,52.783478,836.6433,71,72,79.85591,1443.6854,76,89,19,51,66,43,66,71,80,83,71,93
US7042234861,BBG00FLYVD32,PXLIX US EQUITY,Impax Large Cap Fund,-,1.7245265,1.8699498,18.63185,216.09943,18.026424,209.07747,66,55,43.513107,795.0689,100,65,12,62,61,46,63,41,82,80,86,98
US4642876142,BBG000BTR7Z0,IWF US EQUITY,iShares Russell 1000 Growth ETF,2679839,1.726486,2.4963255,10.23858,66.075874,10.223321,65.958244,69,52,27.308765,230.45976,99,55,15,51,57,53,61,35,77,79,84,94
US46435G5163,BBG00D7BBRR8,ESGD US EQUITY,iShares ESG Aware MSCI EAFE ETF,BD06LG1,1.7288306,2.2694137,39.560497,793.20734,39.29155,787.8148,71,73,62.050816,1374.5814,76,90,22,56,68,35,58,69,77,73,67,95
US9220428745,BBG000HT8SM3,VGK US EQUITY,Vanguard FTSE Europe ETF,B06HML9,1.732462,2.179671,55.183117,841.2103,54.07542,823.6534,71,72,79.2556,1432.121,76,89,20,51,67,43,66,74,80,83,71,93
US4642874816,BBG000BW05W9,IWP US EQUITY,iShares Russell Mid-Cap Growth ETF,2810478,1.7529744,2.4534326,70.579094,177.46756,70.302345,176.30615,60,43,152.67545,608.96246,98,71,7,26,48,10,50,8,78,72,78,99
US5638215039,BBG000NTBLJ1,EXOSX US EQUITY,Manning & Napier Overseas Series Fund,B929TK0,1.7673695,2.0587742,33.51771,95.039795,32.422626,91.93468,66,59,101.20741,314.19223,96,86,17,49,63,37,62,53,80,77,67,97
